IntS1200110,大学物理实验I
UoG12004,大学物理实验II
I0630830,单片机与PLC实验
I0602920,单片机与无线智能传感器设计
H0704510,地球资源与环境信息技术前沿
H0708620,地学数据三维可视化
H0514710,第三代半导体应用前沿
H0211510,电磁场与无线技术前沿讲座
L0400610,电工电气技术实训
S0425610,电工电气技术实训 B
K0406210,电机与电拖自动控制实验
I0418510,电气工程前沿讲座
A9905220,电影鉴赏
I9903120,电影舞蹈赏析
I9900320,电影音乐赏析
IntS0200510,电装实习
K0211010,电子材料分析实验
I0208830,电子电路设计-射频基础
A0209620,电子工程设计之电子电路设计基础
I1512710,电子商务创新发展
H0217930,电子微系统设计与实现
UoG13016,电子信息工程综合设计
F2701910,电子信息科学与技术导引（新生研讨课）
H0601910,电子信息学的“惑”与“悟”
S0101410,顶点计划I
U1413510,定制生命：基因组合成生物学原理及实践
K1745730,读书报告
H0215210,多核系统与片上网络
I1715540,俄语语言基础与俄罗斯文化(初级班)
I9904820,二胡基础教学
I9906320,法国艺术歌曲鉴赏
I0298320,仿真软件应用基础
I1000610,飞行控制原理与模拟飞行实验
H0808920,分布式并行计算
S0320725,分析化学实验
I1400210,分子细胞遗传学实验1（基因组荧光原位杂交技术）
A1514120,风险投资与创业融资
I9900520,钢琴演奏基础
I1110730,高等微积分II
H0308720,高分子材料化学
I9900620,歌唱艺术与训练
A0814820,工程导论
A1511720,工程管理
K1009405,工程力学实验 I
K1009505,工程力学实验 II
A0419420,工程设计
P0520915,工程设计基础
S2705710,工程实践创新项目II
H0213720,功率集成电路和微电子封装前沿技术
H1212120,功能纳米材料学科前沿
I1507710,供应链金融
I9900720,古典音乐欣赏
I9900820,古筝演奏基础班
H0515110,光电器件与材料技术前沿
W0500110,光电信息系统设计与应用（挑战性课程）
I0515410,光机电软算一体化
H0109810,光纤传输与光交换新技术
I0100920,光纤技术
H0515010,硅基光电子器件的挑战与机遇
I6900220,国际教育与跨文化交流
K1563020,行为科学研究
I0409710,行业环境解析与实践课
I1003320,航空航天技术概论
H1009620,航空航天前沿技术
I1000710,航天发射任务模拟实验
I9904920,黑管演奏入门
U0300220,互联网+新材料与新能源前沿导论
G0814920,互联网技术导论
U1500120,互联网金融导论
F1513020,互联网思维与应用
K1595320,互联网营销及消费行为分析
H1301520,护理科研与实践
P1303610,护理学导论
I0700120,环境保护概论
I0812610,汇编语言
K0802510,汇编语言与微机接口技术综合实验
I9903020,绘画色彩
L0403010,机电产品综合创新设计与制作
K0900120,机房监控系统的设计与实现
L0402720,机构创意设计及实践
A0419520,机器人设计与制作
S0429425,机器人是怎样炼成的？
F0401610,机械工程导论
L0402920,机械工程自动化实践
L0402820,机械设计及制造实践
K1007910,机载电子总体设计实验
L0400510,基础工程训练
L2703910,基础科研训练I
L2702810,基础科研训练II
I9904620,基础素描
I1401620,基础心理学实验
I0413520,基于PSOC单片机的电子设计实验
H0210510,集成电路CAD实验
K0211110,集成电路设计与测试实验
K0210310,集成电路原理实验
I0209415,集成电阻器制造
U1117010,计算：第三种科学方法
H0209110,计算电磁学前沿
F0800110,计算机导论
I1239830,计算机仿真原理与应用
H0800110,计算机基础实验
I0409220,计算机三维艺术设计
