D2703360,大学物理II
D2703730,高等微积分III
D2704050,概率论与数理统计
D2704750,高等微积分II
D2704960,数学分析II（含常微分方程）
D3404610,类脑系统初探
D3404710,集成电路导论
E0100160,电子电路基础
E0100250,信号与系统
E0100340,信号与系统B
E0100345,信号与系统
E0100430,计算机系统原理
E0100635,计算机系统原理
E0100650,微处理器系统结构与嵌入式系统设计
E0101040,数字信号处理
E0101140,电子电路基础
E0102340,数字信号处理
E0108730,软件技术基础
E0109120,随机信号分析
E0116540,数字逻辑电路与系统
E0123340,通信原理
E0130340,微处理器系统结构与嵌入式系统设计
E0137730,计算机通信网
E0147830,软件技术基础
E0160845,信号与系统
E0196915,高级语言程序设计
E0200140,电路分析基础
E0200220,工程数学
E0200230,模拟电路基础
E0200340,量子力学与统计物理
E0200440,固体物理
E0200445,电磁场理论
E0200530,半导体物理B
E0200540,数字逻辑设计及应用
E0200630,计算机系统原理
E0201345,电路分析基础
E0201440,电磁场与波
E0201530,电磁场与波B
E0202635,微波技术基础
E0203345,半导体物理A
E0204220,高级微电子技术
E0204830,通信原理
E0206420,电子测量原理
E0208140,模拟电路基础
E0210230,模拟电子线路
E0211935,半导体物理C
E0213135,半导体物理A
E0216845,固体电子学基础
E0220920,量子力学
E0300165,有机化学
E0300230,材料科学与工程
E0302440,普通化学
E0302540,固体物理
E0302640,半导体物理
E0306525,无机化学Ⅰ
E0306720,无机化学Ⅱ
E0306930,分析化学
E0307125,物理化学Ⅰ
E0307355,有机化学
E0307530,物理化学Ⅱ
E0312525,材料物理
E0400120,现代工程设计制图
E0400140,理论力学
E0400320,大学化学
E0400420,机械制图Ⅰ
E0400440,材料力学
E0400520,复变函数
E0400740,电路分析与模拟电路
E0400820,机械制图Ⅱ
E0400945,理论力学
E0401045,材料力学
E0401140,电子技术基础
E0401230,工程控制基础
E0401330,机械设计基础Ⅰ（原理）
E0401430,机械设计基础Ⅱ（零件）
E0401530,制造技术基础
E0405140,自动控制原理
E0405245,电机与电力拖动技术
E0405340,电力电子技术
E0407225,试验设计
E0409140,电路与电子技术基础
E0414240,工业控制器原理及应用技术
E0415035,运筹学
E0415425,工业工程基础
E0415535,应用随机过程
E0415625,工程经济学
E0415920,可编程控制技术及组态软件
E0419820,矩阵理论
E0419920,机器人控制原理与方法
E0420515,机器人学
E0421320,热工学基础
E0500440,量子力学与统计物理
E0500540,物理光学
E0500630,应用光学
E0500740,固体与半导体物理
E0507230,显示技术基础
E0511020,工程数学
E0511135,物理光学
E0511225,应用光学
E0520320,数理建模与仿真
E0600140,数字逻辑设计及应用
E0600220,复变函数
E0603020,C语言
E0607030,电力电子技术
E0607440,数字逻辑设计及应用
E0634850,微处理器系统结构与嵌入式系统
E0700130,高级语言程序设计
E0700230,软件技术基础
E0700330,数据库技术
E0708030,空间信息导论
E0713320,数字信号处理
E0800230,程序设计基础
E0800540,离散数学
E0800645,数据结构与算法
E0800740,数字逻辑
E0800835,计算机组成原理
E0800940,计算机操作系统
E0801035,编译原理
E0804830,离散数学
E0804930,信息安全数学基础
E0805020,密码学
E0805130,计算机网络
E0805220,信息论与编码
E0810625,密码学
E0817630,离散数学
E0817930,计算机体系结构
E0819840,计算机操作系统
E0819930,软件工程
E0820140,计算机组成原理
E0900140,C语言程序设计
E0900330,离散数学
E0900440,数据结构与算法
E0900740,计算机组成原理与结构
E0901040,操作系统基础
E0901140,计算机网络基础
E0901240,数据库原理及应用
E0901330,软件工程基础
E0901420,系统分析与设计（含UML）
E0901530,数字逻辑设计
E0901540,数字逻辑设计
E0901750,电子电路基础
E0901840,程序设计与算法基础I
E0902040,程序设计与算法基础II
E0911835,计算机网络基础
E0914330,计算机图形学
E0914940,C语言程序设计
E0916130,面向对象程序设计（Java）
E0916230,数据库原理及应用
E0947630,信息安全数学基础
E0947830,应用数学基础
E1101420,复变函数
E1101520,数理方程与特殊函数
E1101640,离散数学
E1101720,数学建模
E1102340,数学分析III
E1102540,高等代数II
E1102650,概率论与数理统计
E1102830,常微分方程
E1103030,复变函数
E1115840,实变函数
E1179460,概率论与数理统计
E1200130,大学物理I
E1201240,光学
E1201340,电动力学
E1201425,高级语言程序设计
E1201530,高频电子线路
E1202535,光学
E1209830,力学
E1300430,医用高等数学
E1300820,病理生理学
E1400140,生物化学Ⅰ
E1400230,生物化学Ⅱ
E1400340,微生物学
E1400545,生物统计学
E1400620,生物仪器分析
E1406640,程序设计（C与C++）
E1409120,电子电路基础
E1409250,生物化学
E1409320,遗传学
E1409520,计算机组成与结构
E1409620,生物统计学
E1409730,微生物学
E1409930,细胞生物学
E1410145,数据结构与算法
E1500420,经济学II
E1500530,运筹学
E1500620,商法
E1513740,管理学
E1513840,经济学
E1576530,管理学
E1600230,法学原理
E1600640,公共管理学
E1600730,社会科学研究方法
E1601135,法理学
E1601230,政治学原理
E1601330,高级语言程序设计
E1601430,公共经济学
E1601530,社会管理学
E1601620,文化事业管理
E1602130,人工智能原理与应用
E1604635,民法总论
E1604735,刑法总论
E1604830,中国法制史
E1607030,经济学原理
